Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CA_Suite_1,Chrome 68.0.3440.106,,2018-08-21 14:07:07,2018-08-21 14:09:02,"1m - 54,142s",FAILED
,,,,,,
Test Cases/CA_Test_1,Chrome 68.0.3440.106,,2018-08-21 14:07:08,2018-08-21 14:07:38,"30,299s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:07:09,2018-08-21 14:07:12,"3,347s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:07:12,2018-08-21 14:07:34,"21,635s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:34,2018-08-21 14:07:38,"4,414s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:07:38,2018-08-21 14:07:38,"0,227s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:38,2018-08-21 14:07:38,"0,211s",PASSED
,,,,,,
Test Cases/CA_Test_2,Chrome 68.0.3440.106,,2018-08-21 14:07:38,2018-08-21 14:07:54,"15,818s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:07:39,2018-08-21 14:07:41,"2,776s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:07:41,2018-08-21 14:07:46,"4,757s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:46,2018-08-21 14:07:49,"3,161s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:49,2018-08-21 14:07:50,"0,405s",PASSED
verifyElementClickable,Chrome 68.0.3440.106,,2018-08-21 14:07:50,2018-08-21 14:07:50,"0,255s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:50,2018-08-21 14:07:54,"4,173s",PASSED
,,,,,,
Test Cases/CA_Test_3,Chrome 68.0.3440.106,,2018-08-21 14:07:54,2018-08-21 14:08:00,"5,753s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:07:55,2018-08-21 14:07:56,"1,111s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:07:56,2018-08-21 14:07:59,"3,489s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:07:59,2018-08-21 14:08:00,"0,864s",FAILED
,,,,,,
Test Cases/CA_Test_4,Chrome 68.0.3440.106,,2018-08-21 14:08:00,2018-08-21 14:08:50,"49,804s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:08:00,2018-08-21 14:08:01,"1,251s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:08:01,2018-08-21 14:08:05,"4,078s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:08:05,2018-08-21 14:08:11,"5,742s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:08:11,2018-08-21 14:08:14,"2,831s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:08:14,2018-08-21 14:08:18,"3,963s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:08:18,2018-08-21 14:08:50,"31,747s",FAILED
,,,,,,
Test Cases/CA_Test_5,Chrome 68.0.3440.106,,2018-08-21 14:08:50,2018-08-21 14:08:56,"5,810s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:08:50,2018-08-21 14:08:51,"1,155s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:08:51,2018-08-21 14:08:55,"3,606s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:08:55,2018-08-21 14:08:56,"0,941s",FAILED
,,,,,,
Test Cases/CA_Test_6,Chrome 68.0.3440.106,,2018-08-21 14:08:56,2018-08-21 14:09:01,"5,785s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:08:56,2018-08-21 14:08:57,"1,249s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:08:57,2018-08-21 14:09:01,"3,900s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:09:01,2018-08-21 14:09:01,"0,544s",FAILED
